01/01/2025 16:20:45 - Tradução iniciada em: 2025-01-01_16-20-45
01/01/2025 16:21:13 - Processando página 85 de 306
01/01/2025 16:21:13 - Processando página 86 de 306
01/01/2025 16:21:13 - Processando página 87 de 306
01/01/2025 16:21:13 - Processando página 88 de 306
01/01/2025 16:21:13 - Processando página 89 de 306
01/01/2025 16:21:14 - Processando página 90 de 306
01/01/2025 16:21:14 - Processando página 91 de 306
01/01/2025 16:21:14 - Processando página 92 de 306
01/01/2025 16:21:15 - Processando página 93 de 306
01/01/2025 16:21:15 - Processando página 94 de 306
01/01/2025 16:21:15 - Processando página 95 de 306
01/01/2025 16:21:15 - Processando página 96 de 306
01/01/2025 16:21:16 - Processando página 97 de 306
01/01/2025 16:21:16 - Processando página 98 de 306
01/01/2025 16:21:16 - Processando página 99 de 306
01/01/2025 16:21:16 - Processando página 100 de 306
01/01/2025 16:21:17 - Processando página 101 de 306
01/01/2025 16:21:17 - Processando página 102 de 306
01/01/2025 16:21:17 - Processando página 103 de 306
01/01/2025 16:21:17 - Processando página 104 de 306
01/01/2025 16:21:17 - Processando página 105 de 306
01/01/2025 16:21:18 - Processando página 106 de 306
01/01/2025 16:21:18 - Processando página 107 de 306
01/01/2025 16:21:18 - Processando página 108 de 306
01/01/2025 16:21:19 - Processando página 109 de 306
01/01/2025 16:21:19 - Processando página 110 de 306
01/01/2025 16:21:19 - Processando página 111 de 306
01/01/2025 16:21:20 - Processando página 112 de 306
01/01/2025 16:21:20 - Processando página 113 de 306
01/01/2025 16:21:20 - Processando página 114 de 306
01/01/2025 16:21:20 - Processando página 115 de 306
01/01/2025 16:21:20 - Processando página 116 de 306
01/01/2025 16:21:21 - Processando página 117 de 306
01/01/2025 16:21:21 - Processando página 118 de 306
01/01/2025 16:21:21 - Processando página 119 de 306
01/01/2025 16:21:21 - Processando página 120 de 306
01/01/2025 16:21:22 - Processando página 121 de 306
01/01/2025 16:21:22 - Processando página 122 de 306
01/01/2025 16:21:22 - Processando página 123 de 306
01/01/2025 16:21:22 - Processando página 124 de 306
01/01/2025 16:21:23 - Processando página 125 de 306
01/01/2025 16:21:23 - Processando página 126 de 306
01/01/2025 16:21:23 - Processando página 127 de 306
01/01/2025 16:21:23 - Processando página 128 de 306
01/01/2025 16:21:23 - Processando página 129 de 306
01/01/2025 16:21:24 - Processando página 130 de 306
01/01/2025 16:21:24 - Processando página 131 de 306
01/01/2025 16:21:24 - Processando página 132 de 306
01/01/2025 16:21:25 - Processando página 133 de 306
01/01/2025 16:21:25 - Processando página 134 de 306
01/01/2025 16:21:25 - Processando página 135 de 306
01/01/2025 16:21:25 - Processando página 136 de 306
01/01/2025 16:21:26 - Processando página 137 de 306
01/01/2025 16:21:26 - Processando página 138 de 306
01/01/2025 16:21:26 - Processando página 139 de 306
01/01/2025 16:21:27 - Processando página 140 de 306
01/01/2025 16:21:27 - Processando página 141 de 306
01/01/2025 16:21:27 - Processando página 142 de 306
01/01/2025 16:21:27 - Processando página 143 de 306
01/01/2025 16:21:28 - Processando página 144 de 306
01/01/2025 16:21:28 - Processando página 145 de 306
01/01/2025 16:21:28 - Processando página 146 de 306
01/01/2025 16:21:28 - Processando página 147 de 306
01/01/2025 16:21:29 - Processando página 148 de 306
01/01/2025 16:21:29 - Processando página 149 de 306
01/01/2025 16:21:29 - Processando página 150 de 306
01/01/2025 16:21:30 - Processando página 151 de 306
01/01/2025 16:21:30 - Processando página 152 de 306
01/01/2025 16:21:30 - Processando página 153 de 306
01/01/2025 16:21:30 - Processando página 154 de 306
01/01/2025 16:21:30 - Processando página 155 de 306
01/01/2025 16:21:31 - Processando página 156 de 306
01/01/2025 16:21:31 - Processando página 157 de 306
01/01/2025 16:21:31 - Processando página 158 de 306
01/01/2025 16:21:32 - Processando página 159 de 306
01/01/2025 16:21:32 - Processando página 160 de 306
01/01/2025 16:21:32 - Processando página 161 de 306
01/01/2025 16:21:33 - Processando página 162 de 306
01/01/2025 16:21:33 - Processando página 163 de 306
01/01/2025 16:21:33 - Processando página 164 de 306
01/01/2025 16:21:33 - Processando página 165 de 306
01/01/2025 16:21:34 - Processando página 166 de 306
01/01/2025 16:21:34 - Processando página 167 de 306
01/01/2025 16:21:34 - Processando página 168 de 306
01/01/2025 16:21:35 - Processando página 169 de 306
01/01/2025 16:21:35 - Processando página 170 de 306
01/01/2025 16:21:35 - Processando página 171 de 306
01/01/2025 16:21:36 - Processando página 172 de 306
01/01/2025 16:21:36 - Processando página 173 de 306
01/01/2025 16:21:36 - Processando página 174 de 306
01/01/2025 16:21:37 - Processando página 175 de 306
01/01/2025 16:21:37 - Processando página 176 de 306
01/01/2025 16:21:37 - Processando página 177 de 306
01/01/2025 16:21:37 - Processando página 178 de 306
01/01/2025 16:21:38 - Processando página 179 de 306
01/01/2025 16:21:38 - Processando página 180 de 306
01/01/2025 16:21:38 - Processando página 181 de 306
01/01/2025 16:21:38 - Processando página 182 de 306
01/01/2025 16:21:39 - Processando página 183 de 306
01/01/2025 16:21:39 - Processando página 184 de 306
01/01/2025 16:21:39 - Processando página 185 de 306
01/01/2025 16:21:39 - Processando página 186 de 306
01/01/2025 16:21:40 - Processando página 187 de 306
01/01/2025 16:21:40 - Processando página 188 de 306
01/01/2025 16:21:40 - Processando página 189 de 306
01/01/2025 16:21:41 - Processando página 190 de 306
01/01/2025 16:21:41 - Processando página 191 de 306
01/01/2025 16:21:41 - Processando página 192 de 306
01/01/2025 16:21:42 - Processando página 193 de 306
01/01/2025 16:21:42 - Processando página 194 de 306
01/01/2025 16:21:42 - Processando página 195 de 306
01/01/2025 16:21:42 - Processando página 196 de 306
01/01/2025 16:21:43 - Processando página 197 de 306
01/01/2025 16:21:43 - Processando página 198 de 306
01/01/2025 16:21:43 - Processando página 199 de 306
01/01/2025 16:21:44 - Processando página 200 de 306
01/01/2025 16:21:44 - Processando página 201 de 306
01/01/2025 16:21:44 - Processando página 202 de 306
01/01/2025 16:21:44 - Processando página 203 de 306
01/01/2025 16:21:44 - Processando página 204 de 306
01/01/2025 16:21:45 - Processando página 205 de 306
01/01/2025 16:21:45 - Processando página 206 de 306
01/01/2025 16:21:45 - Processando página 207 de 306
01/01/2025 16:21:45 - Processando página 208 de 306
01/01/2025 16:21:46 - Processando página 209 de 306
01/01/2025 16:21:46 - Processando página 210 de 306
01/01/2025 16:21:46 - Processando página 211 de 306
01/01/2025 16:21:47 - Processando página 212 de 306
01/01/2025 16:21:47 - Processando página 213 de 306
01/01/2025 16:21:48 - Processando página 214 de 306
01/01/2025 16:21:48 - Processando página 215 de 306
01/01/2025 16:21:49 - Processando página 216 de 306
01/01/2025 16:21:49 - Processando página 217 de 306
01/01/2025 16:21:49 - Processando página 218 de 306
01/01/2025 16:21:49 - Processando página 219 de 306
01/01/2025 16:21:50 - Processando página 220 de 306
01/01/2025 16:21:50 - Processando página 221 de 306
01/01/2025 16:21:50 - Processando página 222 de 306
01/01/2025 16:21:51 - Processando página 223 de 306
01/01/2025 16:21:51 - Processando página 224 de 306
01/01/2025 16:21:51 - Processando página 225 de 306
01/01/2025 16:21:52 - Processando página 226 de 306
01/01/2025 16:21:52 - Processando página 227 de 306
01/01/2025 16:21:52 - Processando página 228 de 306
01/01/2025 16:21:52 - Processando página 229 de 306
01/01/2025 16:21:53 - Processando página 230 de 306
01/01/2025 16:21:53 - Processando página 231 de 306
01/01/2025 16:21:53 - Processando página 232 de 306
01/01/2025 16:21:53 - Processando página 233 de 306
01/01/2025 16:21:54 - Processando página 234 de 306
01/01/2025 16:21:54 - Processando página 235 de 306
01/01/2025 16:21:54 - Processando página 236 de 306
01/01/2025 16:21:54 - Processando página 237 de 306
01/01/2025 16:21:54 - Processando página 238 de 306
01/01/2025 16:21:55 - Processando página 239 de 306
01/01/2025 16:21:55 - Processando página 240 de 306
01/01/2025 16:21:56 - Processando página 241 de 306
01/01/2025 16:21:56 - Processando página 242 de 306
01/01/2025 16:21:57 - Processando página 243 de 306
01/01/2025 16:21:57 - Processando página 244 de 306
01/01/2025 16:21:57 - Processando página 245 de 306
01/01/2025 16:21:57 - Processando página 246 de 306
01/01/2025 16:21:58 - Processando página 247 de 306
01/01/2025 16:21:58 - Processando página 248 de 306
01/01/2025 16:21:58 - Processando página 249 de 306
01/01/2025 16:21:58 - Processando página 250 de 306
01/01/2025 16:21:59 - Processando página 251 de 306
01/01/2025 16:21:59 - Processando página 252 de 306
01/01/2025 16:21:59 - Processando página 253 de 306
01/01/2025 16:22:00 - Processando página 254 de 306
01/01/2025 16:22:00 - Processando página 255 de 306
01/01/2025 16:22:00 - Processando página 256 de 306
01/01/2025 16:22:01 - Processando página 257 de 306
01/01/2025 16:22:01 - Processando página 258 de 306
01/01/2025 16:22:01 - Processando página 259 de 306
01/01/2025 16:22:01 - Processando página 260 de 306
01/01/2025 16:22:02 - Processando página 261 de 306
01/01/2025 16:22:02 - Processando página 262 de 306
01/01/2025 16:22:02 - Processando página 263 de 306
01/01/2025 16:22:02 - Processando página 264 de 306
01/01/2025 16:22:03 - Processando página 265 de 306
01/01/2025 16:22:03 - Processando página 266 de 306
01/01/2025 16:22:03 - Processando página 267 de 306
01/01/2025 16:22:03 - Processando página 268 de 306
01/01/2025 16:22:04 - Processando página 269 de 306
01/01/2025 16:22:04 - Processando página 270 de 306
01/01/2025 16:22:04 - Processando página 271 de 306
01/01/2025 16:22:04 - Processando página 272 de 306
01/01/2025 16:22:04 - Processando página 273 de 306
01/01/2025 16:22:05 - Processando página 274 de 306
01/01/2025 16:22:05 - Processando página 275 de 306
01/01/2025 16:22:06 - Processando página 276 de 306
01/01/2025 16:22:06 - Processando página 277 de 306
01/01/2025 16:22:06 - Processando página 278 de 306
01/01/2025 16:22:07 - Processando página 279 de 306
01/01/2025 16:22:07 - Processando página 280 de 306
01/01/2025 16:22:07 - Processando página 281 de 306
01/01/2025 16:22:07 - Processando página 282 de 306
01/01/2025 16:22:08 - Processando página 283 de 306
01/01/2025 16:22:08 - Processando página 284 de 306
01/01/2025 16:22:08 - Processando página 285 de 306
01/01/2025 16:22:08 - Processando página 286 de 306
01/01/2025 16:22:09 - Processando página 287 de 306
01/01/2025 16:22:09 - Processando página 288 de 306
01/01/2025 16:22:09 - Processando página 289 de 306
01/01/2025 16:22:10 - Processando página 290 de 306
01/01/2025 16:22:10 - Processando página 291 de 306
01/01/2025 16:22:10 - Processando página 292 de 306
01/01/2025 16:22:10 - Processando página 293 de 306
01/01/2025 16:22:10 - Processando página 294 de 306
01/01/2025 16:22:11 - Processando página 295 de 306
01/01/2025 16:22:11 - Processando página 296 de 306
01/01/2025 16:22:11 - Processando página 297 de 306
01/01/2025 16:22:11 - Processando página 298 de 306
01/01/2025 16:22:12 - Processando página 299 de 306
01/01/2025 16:22:12 - Processando página 300 de 306
01/01/2025 16:22:12 - Processando página 301 de 306
01/01/2025 16:22:13 - Processando página 302 de 306
01/01/2025 16:22:13 - Processando página 303 de 306
01/01/2025 16:22:13 - Processando página 304 de 306
01/01/2025 16:22:13 - Processando página 305 de 306
01/01/2025 16:22:14 - Processando página 306 de 306
01/01/2025 16:22:14 - EPUB traduzido salvo como arquivos_traduzidos\traduzido_2025-01-01_16-20-45\teste_traduzido.epub
